title,price,year,brand,model,driveWheelConfiguration,vehicleTransmission,fuelType,mileageFromOdometer
2012 Kia Forte Koup Coupé (2 portes) 140 000km,6200.00,2012,Kia,Forte,Roues motrices avant,Manuelle,Essence,140 000
2006 Hyundai Accent,1700.00,2006,Hyundai,Accent,Roues motrices avant,Manuelle,Essence,208 000
Subaru Legacy 2002 wagon,975.00,2002,Subaru,Legacy,4 x 4,Automatique,Essence,286 000
Impala 2009,2400.00,2009,Chevrolet,Impala,Roues motrices avant,Automatique,Essence,225 000
2011 Lexus IS 250 AWD Sedan,15499.00,2011,Lexus,IS,4 roues motrices (4x4),Automatique,Essence,105 000
volks cabrio 2001 décapotable,2850.00,2001,Volkswagen,Cabrio,Roues motrices avant,Automatique,Essence,269 823
2013 Hyundai Elantra GT Automatique,7300.00,2013,Hyundai,Elantra,Roues motrices avant,Automatique,Essence,120 000
Mazda CX-5 2015,20000.00,2015,Mazda,CX-5,Autre,Automatique,Essence,45 000
Mini John Cooper Works,399.00,2016,MINI,Autre,Roues motrices avant,Manuelle,Essence,10 550
2004 Chevrolet  Express 2500 CARGO  VAN,2800.00,2004,Chevrolet,Express,Roues motrices arrière,Automatique,Essence,180 000
Honda civic 2015 - transfert de location,300.00,2015,Honda,Autre,Autre,Manuelle,Essence,47 500
Hyundai Accent 2004,1200.00,2004,Hyundai,Accent,Roues motrices avant,Automatique,Essence,120 000
2015 Nissan MICRA SR Berline,11500.00,2015,Nissan,MICRA,Autre,Autre,Essence,1 650
Subaru Outback Ltd 2008,4980.00,2008,Subaru,Outback,4 roues motrices (4x4),Automatique,Essence,218 000
Chevrolet Blazer ZR2 2002,1800.00,2002,Chevrolet,Blazer,4 x 4,Automatique,Essence,190 000
2015 Nissan MICRA SR Berline,11500.00,2015,Nissan,MICRA,Autre,Autre,Essence,1 650
Nissan Rogue 2012,8999.00,2012,Nissan,Rogue,Roues motrices avant,Automatique,Essence,95 000
"Auto usagée à vendre, parfaite condition",3800.00,2009,Chevrolet,Cobalt,Roues motrices avant,Manuelle,Essence,75 713
"BMW M235i Convertible M Performance M6T, Warranty...RARE",46900.00,2016,BMW,2-Series,Roues motrices arrière,Manuelle,Essence,36 000
Audi A4 2007 3.2 Quattro automatique full cuir,4400.00,2007,Audi,A4,4 roues motrices (4x4),Automatique,Essence,216 000
Honda Fit 2007,3000.00,2007,Honda,Autre,Autre,Automatique,Autre,190 000
2001 Audi TT TT Quattro Turbo 225hp Cabriolet,10500.00,2001,Audi,TT,4 x 4,Manuelle,Essence,180 500
HONDA ACCORD 2003 2.4 EXL,2250.00,2003,Honda,Accord,Roues motrices avant,Automatique,Essence,80 000
Ford Escape 2010 *négociable*,7900.00,2010,Ford,Escape,Roues motrices avant,Automatique,Essence,77 000
BMW 750i XDrive 2012,29995.00,2012,BMW,7-Series,4 roues motrices (4x4),Automatique,Essence,89 000
PORSCHE 911 4S 2006 - GT3 AERO KIT,54900.00,2006,Porsche,911,4 roues motrices (4x4),Manuelle,Essence,121 000
"12A, 2011 Buick Lucerne CXL, Voir: ""4 SPÉCIALE""",8950.00,2011,Buick,Lucerne,Roues motrices avant,Automatique,Essence,89 000
Honda element 2003 EX,2500.00,2003,Honda,Element,Roues motrices avant,Manuelle,Essence,325 000
Pontiac Grand Prix GT,1300.00,2002,Pontiac,Grand Prix,Roues motrices avant,Automatique,Essence,256 700
À vendre,3500.00,1999,Chevrolet,Silverado 1500,4 roues motrices (4x4),Automatique,Essence,174 000
Dodge Magnum RT AWD 2005 - Towing Package - Toit ouvrant,5800.00,2005,Dodge,Magnum,4 roues motrices (4x4),Automatique,Essence,167 500
Ford f150.,10500.00,2008,Ford,F-150,Autre,Automatique,Essence,68 000
Mazda tribute 2002 4x4,1800.00,2002,Mazda,Tribute,4 roues motrices (4x4),Automatique,Essence,178 000
"2008 Lincoln MKX SUV, limited edition",9875.00,2008,Lincoln,MKX,4 roues motrices (4x4),Automatique,Essence,144 500
HONDA PILOT EX 4WD 2010,12000.00,2010,Honda,Pilot,4 roues motrices (4x4),Automatique,Essence,163 000
2010 Volkswagen Golf 2.5 German Made,7499.00,2010,Volkswagen,Golf,Roues motrices avant,Automatique,Essence,123 000
2008 HYUNDAI ACCENT,895.00,2008,Hyundai,Accent,Roues motrices avant,Manuelle,Essence,214 000
Honda Civic 2003,1100.00,2003,Honda,Civic,Roues motrices avant,Manuelle,Essence,176 000
BMW 435I Xdrive COUPE - 6MT Manuelle - COMME NEUVE! Bas mileage!,39900.00,2014,BMW,4-Series,4 roues motrices (4x4),Manuelle,Essence,16 000
Chevrolet Epica LS 2004 / En bonne condition!,1900.00,2004,Chevrolet,Epica,Autre,Automatique,Essence,165 500
Toyota Matrix 2006,5000.00,2006,Toyota,Matrix,4 roues motrices (4x4),Automatique,Essence,230 000
Hyundai accent 2010,3000.00,2010,Hyundai,Accent,Roues motrices avant,Manuelle,Essence,130 000
MAZDA 6 SPORT WAGON,4995.00,2006,Mazda,Mazda6,Roues motrices avant,Automatique,Essence,79 990
Civic 2003,800.00,2003,Honda,Autre,Autre,Manuelle,Essence,290 000
Mustang,7500.00,2005,Ford,Mustang,Roues motrices arrière,Automatique,Essence,182 000
Subaru WRX 2012,13500.00,2012,Subaru,WRX,4 roues motrices (4x4),Manuelle,Essence,183 000
TRANSFERT DE BAIL,280.00,2016,Kia,Rio,Roues motrices avant,Automatique,Essence,4 000
Camaro 2017 2SS V8 6.2L 2017,48995.00,2017,Chevrolet,Camaro,Roues motrices arrière,Manuelle,Essence,13 000
2011 BMW M3 Competition Pkg,39500.00,2011,BMW,M3,Roues motrices arrière,Automatique,Essence,73 000
HYUNDAI ELANTRA GT 2006,1200.00,2006,Hyundai,Elantra,Roues motrices avant,Manuelle,Essence,190 000
Pontiac Solstice GXP,16800.00,2007,Pontiac,Solstice,Roues motrices arrière,Manuelle,Essence,56 000
2003 Nissan Pathfinder toit ouvrant VUS,2750.00,2003,Nissan,Pathfinder,4 roues motrices (4x4),Automatique,Essence,188
Hyundai Accent 2008 manuel,2000.00,2008,Hyundai,Accent,Roues motrices avant,Manuelle,Essence,148 000
Pic-up gmc sierra 3500,12500.00,2004,GMC,Sierra 3500,4 roues motrices (4x4),Automatique,Diesel,297 000
2014 Kia Rondo Ex,10995.00,2014,Kia,Rondo,Autre,Automatique,Essence,92 000
2001 Toyota Camry Berline,1600.00,2001,Toyota,Camry,Roues motrices avant,Automatique,Essence,220 000
Jeep Grand Cherokee Limited 2005,6950.00,2005,Jeep,Grand Cherokee,4 x 4,Automatique,Essence,189 000
Mustang GT 2005 V8,16500.00,2005,Ford,Mustang,Roues motrices arrière,Automatique,Essence,55 000
Cavalier RS 1992 Très bonne condition 108 435 km,1700.00,1992,Chevrolet,Cavalier,Autre,Autre,Essence,108 435
Chrysler 300,2500.00,2006,Chrysler,300-Series,Roues motrices arrière,Automatique,Essence,312 000
ELANTRA 2009,4500.00,2009,Hyundai,Elantra,Roues motrices avant,Automatique,Essence,160 000
Rare - 2009 Mitsubishi Galant 3.8L V6 GT Sport Berline,4500.00,2009,Mitsubishi,Galant,Autre,Automatique,Essence,157 000
"2009 Nissan Rogue SL SUV, Crossover",6495.00,2009,Nissan,Rogue,4 x 4,Automatique,Essence,178 000
Corolla 2001 automatic AC door automatic 120000KM 1999$,2499.00,2001,Toyota,Corolla,Roues motrices avant,Automatique,Essence,120 000
Honda accord 2003,4900.00,2003,Honda,Accord,Roues motrices avant,Automatique,Essence,142 000
Honda Civic LX 2013 (automatic - excellent condition),11999.00,2013,Honda,Civic,Roues motrices avant,Automatique,Essence,68 000
2012 Kia Forte Koup Coupé (2 portes) 140 000km,6200.00,2012,Kia,Forte,Roues motrices avant,Manuelle,Essence,140 000
"2006 Subaru Impreza 2,5i Familiale",3900.00,2006,Subaru,Impreza,4 roues motrices (4x4),Manuelle,Essence,184 000
Dodge charger 2014,7000.00,2014,Dodge,Charger,Roues motrices arrière,Automatique,Essence,198
2000 Ford Mustang Coupé (2 portes),3600.00,2000,Ford,Mustang,Roues motrices arrière,Automatique,Essence,144 000
SL500 AMG 2006 14000KM,35600.00,2006,Mercedes-Benz,SLSAMG-Class,Autre,Automatique,Essence,13 661
Kia Rio 5 Ex 2009,2300.00,2009,Kia,Rio,Roues motrices avant,Manuelle,Essence,190 000
2012 toyota carolla financement disponible,7200.00,2012,Toyota,Corolla,Roues motrices avant,Automatique,Essence,109 000
1978 Ford Ranger Camionnette,4900.00,1978,Ford,Ranger,Roues motrices arrière,Manuelle,Essence,500
"2010 Subaru Forester . SUV, Crossover",5495.00,2010,Subaru,Forester,4 x 4,Automatique,Essence,199 000
Audi A3 2.0 Technik 2015 - lease transfer,640.00,2015,Audi,A3,4 roues motrices (4x4),Automatique,Essence,40 000
Camion ck 3500.crew cab 4x4 en bonne etat mecanique,3500.00,1993,GMC,C/K 3500,4 x 4,Automatique,Essence,265 000
Toyota 4 runner,3500.00,1995,Toyota,4Runner,4 x 4,Manuelle,Essence,280 000
2014 Nissan Sentra Sedan,7500.00,2014,Nissan,Sentra,Roues motrices avant,Manuelle,Essence,32 000
Echo 2002 automatique,800.00,2002,Toyota,Echo,Roues motrices avant,Automatique,Essence,288 000
"2008 Mercedes-Benz R-Class 3.0L CDI SUV, Crossover",13500.00,2008,Mercedes-Benz,R-Class,4 roues motrices (4x4),Automatique,Diesel,110 542
2011  Malibu LS  205500 km $3999,3999.00,2011,Chevrolet,Malibu,Roues motrices avant,Automatique,Essence,205 500
Infiniti G35x,7900.00,2007,Infiniti,G35x,4 roues motrices (4x4),Automatique,Essence,141 000
Chevrolet silverado 2500 4x4 6L 2000,2000.00,2000,Chevrolet,Silverado 2500,4 x 4,Automatique,Essence,20 000
"Volkswagen jetta Trendline +2016 automatique,mags, pas de taxe.",15190.00,2016,Volkswagen,Autre,Autre,Automatique,Essence,46 000
Mazda CX3 2017 avec mode sport (13500km) à transférer,166.00,2017,Mazda,CX-3,Autre,Automatique,Essence,13 400
Honda Civic 1999,1800.00,1999,Honda,Civic,Roues motrices avant,Manuelle,Essence,215 000
Honda Civic 2009,4700.00,2009,Honda,Civic,Roues motrices avant,Automatique,Essence,92 000
"VENDU Jetta 2012, VW,  manuel 5 vitesses, en excelente condition",7200.00,2002,Volkswagen,Jetta,Roues motrices avant,Manuelle,Essence,105 000
"Jeep Tj Wow  70,000 klm",15000.00,2004,Jeep,Wrangler,4 x 4,Autre,Essence,70 000
2014 Toyota Rav4 with super low mileage excellente condition,20000.00,2014,Toyota,RAV4,4 roues motrices (4x4),Automatique,Essence,17 000
Rental car / 550$ monthly / call us 514.700.3737,550.00,2008,Subaru,Impreza,Roues motrices avant,Automatique,Essence,150 000
Toyota Matrix 2007,4000.00,2007,Toyota,Matrix,Roues motrices avant,Automatique,Essence,192 000
Sprinter Mercedes-Benz 2013,24900.00,2013,Mercedes-Benz,Sprinter Van,Autre,Automatique,Diesel,147 237
323i BMW 2008,5000.00,2008,BMW,Autre,Autre,Autre,Essence,124 254
Mazda 3 GX,10500.00,2014,Mazda,Mazda3,Roues motrices avant,Automatique,Essence,80 205
2015 Mercedes-Benz SLK 350 Convertable Roadster AMG Midnight Pkg,48999.00,2015,Mercedes-Benz,SLK-Class,Roues motrices arrière,Automatique,Essence,43 000
lease take over,890.00,2017,Mercedes-Benz,G-Class,4 roues motrices (4x4),Automatique,Essence,14 000
Honda civic noir,1000.00,2003,Honda,Civic,Roues motrices avant,Manuelle,Essence,175 000
1992 BMW 3-Series Coupé (2 portes),9400.00,1992,BMW,3-Series,Roues motrices arrière,Automatique,Essence,77 058
BMW 328i - xDrive - Luxury line - 64 500km - 2013,19500.00,2013,BMW,3-Series,4 roues motrices (4x4),Automatique,Essence,64 500
Buick verano 2014,14000.00,2014,Buick,Verano,Roues motrices avant,Automatique,Essence,22 175
Mazda 3 2010,3800.00,2010,Mazda,Mazda3,Roues motrices avant,Manuelle,Essence,160 000
Honda Accord EXL navi,16000.00,2013,Honda,Accord,Roues motrices avant,Automatique,Essence,110 000
2009 Porsche Cayenne S,13999.00,2009,Porsche,Autre,4 x 4,Automatique,Essence,198 000
2003 Toyota Corolla Berline **4 cylindres**,1900.00,2003,Toyota,Corolla,Roues motrices avant,Automatique,Essence,275 000
"2005 Ford Mustang V6 coupé auto. A/C 119 000 km, un seul proprio",4500.00,2005,Ford,Mustang,Roues motrices arrière,Automatique,Essence,119 000
Mini John Cooper Works,399.00,2016,MINI,Autre,Roues motrices avant,Manuelle,Essence,10 550
Honda CRV EX 2015,346.37,2015,Honda,CR-V,4 roues motrices (4x4),Automatique,Essence,78 000
2014 Toyota Rav4 with super low mileage excellente condition,20000.00,2014,Toyota,RAV4,4 roues motrices (4x4),Automatique,Essence,17 000
mustang gt 2002,6500.00,2002,Ford,Ford GT,Roues motrices arrière,Manuelle,Essence,209 000
2003 Toyota Corolla Berline **4 cylindres**,2900.00,2003,Toyota,Corolla,Roues motrices avant,Automatique,Essence,231 000
Mustang,16500.00,2006,Ford,Mustang,Roues motrices arrière,Automatique,Essence,38 000
GLS bien entretenue à qui la chance!,5500.00,2012,Hyundai,Elantra,Roues motrices avant,Manuelle,Essence,157 700
2011  Malibu LS  205500 km $3999,3999.00,2011,Chevrolet,Malibu,Roues motrices avant,Automatique,Essence,205 500
superbe mazda 6  2014 comme neuve0 accident  et garantie,16000.00,2014,Mazda,Mazda6,Roues motrices avant,Automatique,Essence,79 000
MAZDA 5 - 2010 -  FAUT VOIR !!!,5900.00,2010,Mazda,Mazda5,Roues motrices avant,Manuelle,Essence,105 874
Mercedes r320cdi 3.0,8500.00,2007,Mercedes-Benz,R-Class,4 roues motrices (4x4),Automatique,Diesel,230
HONDA CIVIC LX 2003 AUTOMATIQUE 1700.00$,1700.00,2003,Honda,Civic,Roues motrices avant,Automatique,Essence,175 000
Subaru legacy gt wagon 106000km,7000.00,2005,Subaru,Legacy,4 roues motrices (4x4),Automatique,Essence,106 000
PORSCHE 911 4S 2006 - GT3 AERO KIT,54900.00,2006,Porsche,911,4 roues motrices (4x4),Manuelle,Essence,121 000
Scion iq,7500.00,2012,Scion,iQ,Roues motrices avant,Automatique,Essence,36 667
2008 Mercedes-Benz C-Class C350 4MATIC,8795.00,2008,Mercedes-Benz,C-Class,4 roues motrices (4x4),Automatique,Essence,170 000
"Mazda 3 Sport GS 2017, 4 400 Km, un seul propriétaire",19900.00,2017,Mazda,Mazda3 Sport,Roues motrices avant,Manuelle,Essence,4 400
SAAB 9-3 Aero SportCombi 2008 *Nego,4995.00,2008,Saab,9-3,Roues motrices avant,Manuelle,Essence,206 000
JEEP CHEROKEE NORTH 2016,25000.00,2016,Jeep,Cherokee,Roues motrices avant,Automatique,Essence,17 600
++ TOYOTA RAV4 2015 LIMITED ( GPS - CUIR - AWD - TOIT ) ++,23700.00,2015,Toyota,RAV4,4 roues motrices (4x4),Automatique,Essence,83 000
Subaru Forested 2007,2650.00,2007,Subaru,Forester,4 roues motrices (4x4),Manuelle,Essence,291 069
Jeep tj ROCKY MOUNTAIN 2005,5900.00,2005,Jeep,TJ,4 x 4,Automatique,Essence,180
Honda civic 2008,3200.00,2008,Honda,Civic,Roues motrices avant,Manuelle,Essence,198 000
Jaguar 2003,3000.00,2003,Jaguar,X-TYPE,4 roues motrices (4x4),Manuelle,Essence,107 860
Honda Civic 2013,9000.00,2013,Honda,Civic,Roues motrices avant,Manuelle,Essence,84 000
Mazda6 2.3l need it gone,650.00,2004,Mazda,Mazda6,Roues motrices avant,Manuelle,Essence,281 000
2002 Acura EL Touring Berline Sedan,1380.00,2002,Acura,EL,Roues motrices avant,Automatique,Essence,225 000
Hyundai Élantra L 2015,8850.00,2015,Hyundai,Elantra,Roues motrices avant,Manuelle,Essence,67 690
1994 Ford Mustang GT Cabriolet,4999.00,1994,Ford,Mustang,Roues motrices arrière,Automatique,Essence,200 000
"Mazda 3 Sport GS 2017, 4 400 Km, un seul propriétaire",19900.00,2017,Mazda,Mazda3 Sport,Roues motrices avant,Manuelle,Essence,4 400
Jeep yj,2800.00,1987,Jeep,Wrangler,4 x 4,Manuelle,Essence,215 000
Kia sorento,2600.00,2003,Kia,Sorento,4 x 4,Automatique,Essence,211
Chrysler 200-series berline,6300.00,2011,Chrysler,200-Series,Roues motrices arrière,Automatique,Essence,148 500
Mitsubishi Outlander XSL,3650.00,2007,Mitsubishi,Outlander,4 roues motrices (4x4),Automatique,Essence,249 000
Subaru Forester Touring - Moteur BOXER Engine,8900.00,2010,Subaru,Forester,4 roues motrices (4x4),Manuelle,Essence,132 000
Jeep Patriot 2.4l 4AWD 2009,5400.00,2009,Jeep,Patriot,4 roues motrices (4x4),Automatique,Essence,121 000
Honda CR-V 2013 LX 2RM,15250.00,2013,Honda,CR-V,Roues motrices avant,Automatique,Essence,106 000
Jeep Wrangler,16000.00,2011,Jeep,Wrangler,4 x 4,Manuelle,Essence,150 000
Ford Focus SE Sedan 4 portes 2009,3950.00,2009,Ford,Focus,Roues motrices avant,Automatique,Essence,113 421
Luxueuse BMW 328i 2009 automatique coupé 2 portes 118 000km,9395.00,2009,BMW,3-Series,Autre,Automatique,Essence,118 000
$7000 Ford Flex 2010 avec 81 000 km à vendre,7000.00,2010,Ford,Flex,Roues motrices avant,Automatique,Essence,81 430
"Acura TL Type S 3,5L V6 manuelle",11800.00,2008,Acura,TL,Roues motrices avant,Manuelle,Essence,180 000
Toyota Echo,2950.00,2004,Toyota,Echo,Roues motrices avant,Manuelle,Essence,210 000
Nissan Versa 2007,2200.00,2007,Nissan,Versa,Roues motrices avant,Automatique,Essence,217 000
2000 Mazda MX-5 Miata Cabriolet,6600.00,2000,Mazda,MX-5 Miata,Roues motrices arrière,Manuelle,Essence,152 000
2010 Chevrolet Corvette Coupé (2 portes),38500.00,2010,Chevrolet,Corvette,Roues motrices arrière,Automatique,Essence,86 000
2016 Chevrolet Cruze LT +2000$ LT TURBO Groupe sport RS,235.00,2016,Chevrolet,Cruze,Roues motrices avant,Manuelle,Essence,31 850
Suzuki Grand Vitara 2009 4 cyl. JLX,6900.00,2009,Suzuki,Vitara,4 roues motrices (4x4),Automatique,Essence,148 716
Toyota Camry XLE 2002,2000.00,2002,Toyota,Camry,Roues motrices avant,Automatique,Essence,330 900
MUSTANG GT PREMIUM 2010 CONVERTIBLE,19400.00,2010,Ford,Mustang,Autre,Manuelle,Essence,67 000
"2013 Honda Civic LX Berline, 46000km, sous garantie complète",11600.00,2013,Honda,Civic,Roues motrices avant,Automatique,Essence,46 000
2008 Toyota RAV4 Familiale,7700.00,2008,Toyota,RAV4,4 roues motrices (4x4),Automatique,Essence,235 000
Ford Focus SE 2007,2500.00,2007,Ford,Focus,Roues motrices avant,Automatique,Essence,108 900
2010 Audi S5 Coupe Quattro V8 4.2L - RARE RS5 - Ext Warranty !,24999.00,2010,Audi,S5,4 roues motrices (4x4),Automatique,Essence,88 100
Volvo XC90 T6 - 2004,2450.00,2004,Volvo,XC90,4 roues motrices (4x4),Automatique,Essence,233 000
Acura RSX 2002,2700.00,2002,Acura,RSX,Roues motrices avant,Manuelle,Essence,193 000
BMW 128 i 2011 Noir Cabriolet,24800.00,2011,BMW,M Roadster & Coupe,Roues motrices avant,Manuelle,Essence,98 000
"SANTA FE 2009 ***4X4-AWD***  142,000km V6 3.3",5750.00,2009,Hyundai,Santa Fe,4 roues motrices (4x4),Automatique,Essence,142 000
2012 Toyota RAV4 Garantie prolongée transférable VUS,14500.00,2012,Toyota,RAV4,4 roues motrices (4x4),Automatique,Essence,116 000
Porsche Boxster 2000,12500.00,2000,Porsche,Boxster,Roues motrices arrière,Manuelle,Essence,188 000
Camion,13000.00,2012,Toyota,Tacoma,Roues motrices arrière,Automatique,Diesel,68 500
NISSAN MURANO SL AWD 2011/REMOTE START/8TIRES,9950.00,2011,Nissan,Murano,4 roues motrices (4x4),Automatique,Essence,138 000
Nissan Murano SL 2007 3.5 Full Toit A/C,6500.00,2007,Nissan,Murano,4 roues motrices (4x4),Automatique,Essence,193 500
Dodge Journey 2009 SXT,4900.00,2009,Dodge,Journey,Roues motrices avant,Automatique,Essence,149 000
"2007 NISSAN ALTIMA 3.5SE, 6 VIT, *124,000 KM*, V6, 270hp",5900.00,2007,Nissan,Altima,Roues motrices avant,Manuelle,Essence,124 000
Subaru Outback 2013 2.5i Co avec garantie prolongée (07-2020),15500.00,2013,Subaru,Outback,4 roues motrices (4x4),Automatique,Essence,113 000
TW> Nissan 240sx 96 1jzgte,13000.00,1996,Nissan,240SX,Roues motrices arrière,Manuelle,Essence,150 000
2005 Chevy Astro Stealth Camper Van Conversion,9000.00,2005,Chevrolet,Autre,Roues motrices arrière,Automatique,Essence,159 172
BMW Z4 noire 69 000 km Parfaite condition à voir!,17500.00,2004,BMW,Z4,Roues motrices arrière,Automatique,Essence,69 000
DODGE JOURNEY 2010 BAS MILLAGE,5180.00,2010,Dodge,Journey,Roues motrices avant,Automatique,Essence,157 000
2014 Nissan Versa Note SV AUTOMATIQUE BLUETOOTH GR ELECT A/C,6995.00,2014,Nissan,Autre,Roues motrices avant,Automatique,Essence,129 000
MK2 JETTA 1.8 8V,5000.00,1991,Volkswagen,Jetta,Roues motrices avant,Manuelle,Essence,190 666
"2007 NISSAN ALTIMA 3.5SE, 6 VIT, *124,000 KM*, V6, 270hp",5900.00,2007,Nissan,Altima,Roues motrices avant,Manuelle,Essence,124 000
